"site","name","main_party","CD","Centre","NCP","FP","SDP","Left","Green","year","fin","swe","other","low_income","education","unemp_prop","entrepreneurs","shareOver18","n_father","n_over18","fam","defam","main_party_spp","CD_spp","Centre_spp","NCP_spp","FP_spp","SDP_spp","Left_spp","Green_spp","SPP_spp","fam_spp","defam_spp"
77,"Hankasalmi","Centre",0.0418617393413341,0.41794145637575,0.0697116640301335,0.197898559461774,0.142201036599389,0.0945202578595051,0.0358652863321143,2014,98.7940456001508,0.169587337478802,1.03636706237045,17.4,270.2,14.7833333333333,7.12627669452182,0.380952380952381,42,16,37.2164708474253,28.6727971611361,"Centre",0.0410058000366328,0.410005041934659,0.0683752444382862,0.194024172841195,0.139319134454548,0.0926232929460555,0.0351137504659643,0,36.5022227645588,28.1010895961792
77,"Hankasalmi","Centre",0.0418617393413341,0.41794145637575,0.0697116640301335,0.197898559461774,0.142201036599389,0.0945202578595051,0.0358652863321143,2015,98.587786259542,0.133587786259542,1.27862595419847,17.3,271.7,15.8083333333333,6.72425869717488,0.40625,32,13,37.2164708474253,28.6727971611361,"Centre",0.0410058000366328,0.410005041934659,0.0683752444382862,0.194024172841195,0.139319134454548,0.0926232929460555,0.0351137504659643,0,36.5022227645588,28.1010895961792
77,"Hankasalmi","Centre",0.0418617393413341,0.41794145637575,0.0697116640301335,0.197898559461774,0.142201036599389,0.0945202578595051,0.0358652863321143,2016,98.5462298895135,0.135685210312076,1.31808490017445,17.3,276.3,15.1083333333333,6.50619637750238,0.439024390243902,41,18,37.2164708474253,28.6727971611361,"Centre",0.0410058000366328,0.410005041934659,0.0683752444382862,0.194024172841195,0.139319134454548,0.0926232929460555,0.0351137504659643,0,36.5022227645588,28.1010895961792
77,"Hankasalmi","Centre",0.0418617393413341,0.41794145637575,0.0697116640301335,0.197898559461774,0.142201036599389,0.0945202578595051,0.0358652863321143,2017,98.5455269974098,0.17931858936043,1.27515441322973,17.7,280.9,12.5583333333333,6.79208404593208,0.461538461538462,26,12,37.2164708474253,28.6727971611361,"Centre",0.0410058000366328,0.410005041934659,0.0683752444382862,0.194024172841195,0.139319134454548,0.0926232929460555,0.0351137504659643,0,36.5022227645588,28.1010895961792
78,"Hanko","SDP",0.0406177873389019,0.0778948772946333,0.139941125755289,0.147901692047925,0.419894373413077,0.104236852099987,0.0695132920501867,2009,53.5271438991351,43.4302386162342,3.04261748463061,11.1,241.2,11.5583333333333,2.88449266113593,0.09,100,9,12.8855989402856,54.5849916271252,"SDP",0.0280801137687255,0.0543291929242204,0.0971681195461504,0.100464366699734,0.287989400422178,0.0715147620624092,0.0473886567325845,0.286476021383454,10.5959591771254,59.6288190937728
78,"Hanko","SDP",0.0406177873389019,0.0778948772946333,0.139941125755289,0.147901692047925,0.419894373413077,0.104236852099987,0.0695132920501867,2010,53.7518495032763,43.1621221729021,3.0860283238216,11,244.4,11.2166666666667,2.75950999355255,0.238636363636364,88,21,12.8855989402856,54.5849916271252,"SDP",0.0280801137687255,0.0543291929242204,0.0971681195461504,0.100464366699734,0.287989400422178,0.0715147620624092,0.0473886567325845,0.286476021383454,10.5959591771254,59.6288190937728
78,"Hanko","SDP",0.0406177873389019,0.0778948772946333,0.139941125755289,0.147901692047925,0.419894373413077,0.104236852099987,0.0695132920501867,2011,53.5945630243177,42.9329935223532,3.47244345332909,11.5,247.9,9.10833333333333,2.56742738589212,0.164835164835165,91,15,12.8855989402856,54.5849916271252,"SDP",0.0280801137687255,0.0543291929242204,0.0971681195461504,0.100464366699734,0.287989400422178,0.0715147620624092,0.0473886567325845,0.286476021383454,10.5959591771254,59.6288190937728
78,"Hanko","SDP",0.0406177873389019,0.0778948772946333,0.139941125755289,0.147901692047925,0.419894373413077,0.104236852099987,0.0695132920501867,2012,52.9621236646164,42.9157224560268,4.12215387935686,11.5,252.1,10.3666666666667,2.49343832020997,0.265625,64,17,12.8855989402856,54.5849916271252,"SDP",0.0280801137687255,0.0543291929242204,0.0971681195461504,0.100464366699734,0.287989400422178,0.0715147620624092,0.0473886567325845,0.286476021383454,10.5959591771254,59.6288190937728
78,"Hanko","SDP",0.0406177873389019,0.0778948772946333,0.139941125755289,0.147901692047925,0.419894373413077,0.104236852099987,0.0695132920501867,2013,53.0135031287737,42.8257767043583,4.16072016686793,11.7,259.1,13.1,2.53214901232931,0.280701754385965,57,16,12.8855989402856,54.5849916271252,"SDP",0.0280801137687255,0.0543291929242204,0.0971681195461504,0.100464366699734,0.287989400422178,0.0715147620624092,0.0473886567325845,0.286476021383454,10.5959591771254,59.6288190937728
78,"Hanko","SDP",0.0406177873389019,0.0778948772946333,0.139941125755289,0.147901692047925,0.419894373413077,0.104236852099987,0.0695132920501867,2014,53.1870080922292,42.5784281121827,4.23456379558807,10.8,262.8,13.525,2.54972633827259,0.35,60,21,12.8855989402856,54.5849916271252,"SDP",0.0280801137687255,0.0543291929242204,0.0971681195461504,0.100464366699734,0.287989400422178,0.0715147620624092,0.0473886567325845,0.286476021383454,10.5959591771254,59.6288190937728
